Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1784634508,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1784634509,10,,Aggregated,0.000000,0.000000,420,490,500,500,500,500,500,500,500,500,500,10,0,350,346.907494799234,82.89090899052098,498.22873499942943,274.3
1784634510,20,,Aggregated,0.000000,0.000000,460,490,500,500,600,670,670,670,670,670,670,21,0,460,408.8762049976226,74.47601898456924,671.5036550012883,249.61904761904762
1784634511,30,,Aggregated,4.000000,0.000000,450,500,530,560,670,750,820,820,820,820,820,34,0,450,407.31669967627727,70.3441160148941,815.2032429934479,239.64705882352942
1784634512,40,,Aggregated,5.500000,0.000000,460,500,590,600,700,820,900,900,900,900,900,48,0,450,425.7765666019016,69.33292699977756,898.7782130134292,254.3125
1784634513,50,,Aggregated,8.333333,0.000000,500,590,680,750,820,900,980,990,990,990,990,72,0,500,497.19340381771974,69.33292699977756,986.5855779789854,278.7083333333333
1784634514,60,,Aggregated,10.250000,0.000000,530,650,720,760,900,980,1100,1100,1100,1100,1100,92,0,510,535.1568234226485,69.33292699977756,1074.1335109923966,275.6630434782609
1784634515,70,,Aggregated,11.800000,0.000000,580,690,790,820,990,1100,1200,1200,1300,1300,1300,110,0,570,591.025808162257,69.33292699977756,1296.4422119839583,289.4909090909091
1784634516,80,,Aggregated,14.000000,0.000000,650,800,920,1000,1200,1400,1500,1700,1700,1700,1700,128,0,630,689.2871320533231,69.33292699977756,1689.029353990918,284.6328125
1784634517,90,,Aggregated,14.428571,0.000000,720,960,1200,1400,1600,1700,1900,1900,1900,1900,1900,150,0,720,827.8766597993672,69.33292699977756,1902.1342560008634,278.18666666666667
1784634518,100,,Aggregated,14.750000,0.000000,800,1200,1400,1600,1900,2100,2500,2600,2600,2600,2600,169,0,800,977.3998089992654,69.33292699977756,2624.1715570213273,283.8934911242604
1784634519,100,,Aggregated,15.444444,0.000000,900,1400,1800,1900,2300,2500,2600,2600,2700,2700,2700,191,0,900,1137.5694590569194,69.33292699977756,2710.14412297518,285.29842931937173
1784634520,100,,Aggregated,15.900000,0.000000,1000,1700,2000,2100,2400,2600,2700,2800,2900,2900,2900,208,1,1000,1253.3104424317291,69.33292699977756,2853.7169299961533,289.16346153846155
1784634521,100,,Aggregated,17.400000,0.000000,1200,1800,2200,2400,2700,3200,3200,3200,3600,3600,3600,224,1,1200,1393.0493550750336,69.33292699977756,3629.188171005808,287.13839285714283
1784634522,100,,Aggregated,19.300000,0.000000,1300,2000,2400,2500,3200,3300,3500,3600,3700,3700,3700,239,1,1300,1519.0764204808413,69.33292699977756,3747.634236002341,279.9163179916318
1784634523,100,,Aggregated,19.100000,0.100000,1500,2300,2600,3000,3200,3500,3700,3800,3900,3900,3900,263,1,1500,1682.8155831096096,69.33292699977756,3897.3478070111014,284.0114068441065
1784634524,100,,Aggregated,19.200000,0.100000,1700,2400,2900,3100,3300,3500,3700,3800,3900,3900,3900,283,1,1700,1784.6977485398525,69.33292699977756,3897.3478070111014,285.79505300353355
1784634525,100,,Aggregated,18.900000,0.100000,1900,2600,3100,3200,3400,3500,3700,3700,3900,3900,3900,303,3,1900,1883.8942795799794,69.33292699977756,3897.3478070111014,289.63366336633663
1784634526,100,,Aggregated,18.900000,0.100000,2100,2900,3100,3200,3400,3500,3700,3700,3900,3900,3900,324,5,2100,1968.6332969618372,69.33292699977756,3897.3478070111014,290.9537037037037
1784634527,100,,Aggregated,19.100000,0.200000,2300,2900,3100,3200,3400,3500,3700,3700,3900,3900,3900,342,5,2200,2018.0426598265283,69.33292699977756,3897.3478070111014,292.1345029239766
1784634528,100,,Aggregated,19.500000,0.400000,2400,3000,3100,3200,3400,3500,3600,3700,3900,3900,3900,361,5,2400,2070.4661911761245,69.33292699977756,3897.3478070111014,291.41828254847644
1784634529,100,,Aggregated,19.300000,0.500000,2500,3000,3100,3200,3400,3500,3600,3700,3900,3900,3900,385,6,2500,2125.3203693495357,69.33292699977756,3897.3478070111014,289.17662337662335
1784634530,100,,Aggregated,19.400000,0.500000,2600,3000,3100,3200,3400,3500,3600,3700,3900,3900,3900,400,6,2600,2158.5914769239025,69.33292699977756,3897.3478070111014,287.8275
1784634531,100,,Aggregated,19.500000,0.500000,2700,3000,3100,3200,3400,3500,3600,3700,3900,3900,3900,417,6,2700,2196.9601659989767,69.33292699977756,3897.3478070111014,286.8968824940048
1784634532,100,,Aggregated,18.900000,0.600000,2700,3000,3100,3200,3400,3500,3600,3700,3900,3900,3900,432,6,2700,2235.3202736146527,69.33292699977756,3897.3478070111014,283.974537037037
1784634533,100,,Aggregated,19.000000,0.500000,2700,3100,3200,3200,3500,3600,3700,3800,4000,4000,4000,445,6,2700,2277.848125918012,69.33292699977756,3994.046232983237,281.9056179775281
1784634534,100,,Aggregated,19.100000,0.500000,2800,3100,3200,3300,3600,3800,4000,4300,4400,4400,4400,466,6,2800,2357.723685028931,69.33292699977756,4392.666210012976,283.1738197424893
1784634535,100,,Aggregated,19.000000,0.500000,2900,3100,3200,3400,3700,4000,4300,4400,4600,4600,4600,481,7,2900,2415.8986216620833,69.33292699977756,4597.811179002747,283.6860706860707
1784634536,100,,Aggregated,18.200000,0.500000,2900,3100,3300,3400,3900,4200,4400,4600,4800,4800,4800,499,7,2900,2484.8063920167524,69.33292699977756,4756.865218980238,283.5751503006012
1784634537,100,,Aggregated,17.900000,0.400000,3000,3200,3400,3500,3900,4300,4500,4600,4800,4800,4800,519,8,3000,2544.6890604148753,69.33292699977756,4756.865218980238,282.6955684007707
1784634538,100,,Aggregated,17.700000,0.300000,3000,3200,3400,3600,3900,4300,4500,4600,4800,4800,4800,542,9,3000,2583.4679599471515,69.33292699977756,4756.865218980238,280.7121771217712
1784634539,100,,Aggregated,17.700000,0.200000,3000,3200,3400,3600,3900,4300,4500,4600,4800,4800,4800,561,10,3000,2609.262122854498,69.33292699977756,4756.865218980238,282.5686274509804
1784634540,100,,Aggregated,17.800000,0.400000,3000,3200,3400,3600,3900,4300,4500,4600,4800,4800,4800,582,10,3000,2627.7731919456737,69.33292699977756,4756.865218980238,282.3230240549828
1784634541,100,,Aggregated,17.600000,0.400000,3000,3200,3400,3600,3900,4300,4500,4600,4800,4800,4800,602,11,3000,2641.0222101318063,69.33292699977756,4756.865218980238,283.63455149501664
1784634542,100,,Aggregated,17.600000,0.400000,3000,3200,3400,3600,3900,4300,4500,4600,4800,4800,4800,619,11,3000,2658.8204745853977,69.33292699977756,4756.865218980238,284.78190630048465
1784634543,100,,Aggregated,18.700000,0.400000,3000,3200,3400,3600,3900,4200,4500,4600,4800,4800,4800,634,11,3000,2672.2670119264594,69.33292699977756,4756.865218980238,282.32018927444796
1784634544,100,,Aggregated,18.500000,0.500000,3100,3200,3400,3500,3900,4200,4500,4600,4800,4800,4800,648,11,3100,2689.7531383693145,69.33292699977756,4756.865218980238,280.31481481481484
1784634545,100,,Aggregated,18.800000,0.500000,3100,3300,3500,3600,3900,4200,4400,4600,4800,4800,4800,663,12,3100,2713.591062998839,69.33292699977756,4756.865218980238,279.60482654600304
1784634546,100,,Aggregated,18.400000,0.500000,3100,3300,3500,3600,3900,4200,4400,4600,4800,4800,4800,686,14,3100,2750.3986809319636,69.33292699977756,4756.865218980238,281.58454810495624
1784634547,100,,Aggregated,18.400000,0.600000,3100,3400,3600,3700,4000,4200,4400,4500,4800,4800,4800,707,15,3100,2781.6936059707473,69.33292699977756,4756.865218980238,283.2277227722772
1784634548,100,,Aggregated,18.300000,0.600000,3100,3400,3600,3700,4000,4200,4400,4500,4800,4800,4800,730,15,3100,2812.6852535100875,69.33292699977756,4756.865218980238,283.4739726027397
1784634549,100,,Aggregated,18.500000,0.700000,3100,3400,3600,3700,4000,4200,4400,4500,4800,4800,4800,749,16,3100,2822.4091079536893,69.33292699977756,4756.865218980238,284.694259012016
1784634550,100,,Aggregated,18.400000,0.600000,3100,3400,3600,3700,4000,4200,4300,4500,4800,4800,4800,772,16,3100,2820.74521817405,69.33292699977756,4756.865218980238,285.4753886010363
1784634551,100,,Aggregated,18.700000,0.600000,3100,3400,3600,3700,4000,4200,4300,4500,4800,4800,4800,790,17,3100,2812.6133464486047,69.33292699977756,4756.865218980238,283.2392405063291
1784634552,100,,Aggregated,18.900000,0.600000,3100,3300,3600,3600,3900,4200,4300,4500,4800,4800,4800,812,17,3100,2804.357593066957,69.33292699977756,4756.865218980238,284.0591133004926
1784634553,100,,Aggregated,18.600000,0.600000,3100,3300,3500,3600,3900,4200,4300,4500,4800,4800,4800,834,17,3100,2799.216968175589,69.33292699977756,4756.865218980238,284.3621103117506
1784634554,100,,Aggregated,19.200000,0.600000,3100,3300,3500,3600,3900,4200,4300,4500,4800,4800,4800,844,17,3100,2798.625190623727,69.33292699977756,4756.865218980238,284.3945497630332
1784634555,100,,Aggregated,19.600000,0.600000,3100,3300,3500,3600,3900,4100,4300,4500,4800,4800,4800,862,17,3100,2807.8209944553555,69.33292699977756,4756.865218980238,283.5603248259861
1784634556,100,,Aggregated,20.100000,0.600000,3100,3300,3500,3600,3900,4100,4300,4500,4800,4800,4800,879,17,3100,2819.610181219021,69.33292699977756,4756.865218980238,283.85779294653014
1784634557,100,,Aggregated,19.700000,0.500000,3100,3300,3500,3600,3900,4100,4300,4500,4800,4800,4800,908,17,3100,2834.597657174599,69.33292699977756,4756.865218980238,286.1299559471366
1784634558,100,,Aggregated,19.600000,0.400000,3100,3300,3500,3600,3900,4100,4300,4500,4800,4800,4800,924,17,3100,2842.7796103393503,69.33292699977756,4756.865218980238,284.8030303030303
1784634559,100,,Aggregated,20.100000,0.300000,3100,3300,3500,3600,3900,4100,4300,4500,4800,4800,4800,946,17,3100,2852.503384092555,69.33292699977756,4756.865218980238,285.762156448203
