Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1784634638,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1784634639,10,,Aggregated,0.000000,0.000000,170,180,310,310,320,320,320,320,320,320,320,10,0,170,196.08923199702986,82.16685100342147,320.4279579804279,259.6
1784634640,20,,Aggregated,0.000000,0.000000,170,180,220,230,310,310,320,320,320,320,320,22,0,170,162.9656363604061,74.28121898556128,320.4279579804279,291.6363636363636
1784634641,30,,Aggregated,10.000000,0.000000,100,170,180,180,230,310,320,320,320,320,320,40,0,100,134.19328567397315,4.879025014815852,320.4279579804279,288.25
1784634642,40,,Aggregated,11.000000,0.000000,110,180,220,230,310,370,470,520,520,520,520,61,0,110,161.79009249097987,4.879025014815852,521.6103919956367,266.8360655737705
1784634643,50,,Aggregated,13.000000,0.000000,150,180,230,280,370,480,560,560,560,560,560,89,0,150,173.72603315580113,4.879025014815852,556.6126779885963,275.8426966292135
1784634644,60,,Aggregated,14.750000,0.000000,150,210,230,280,360,520,560,560,680,680,680,117,0,150,180.3754966494102,4.879025014815852,678.6537629959639,272.4017094017094
1784634645,70,,Aggregated,17.400000,0.000000,150,230,280,310,370,550,580,680,680,680,680,149,0,150,194.57291407337186,2.94010600191541,680.4335149936378,275.0469798657718
1784634646,80,,Aggregated,19.000000,0.000000,170,240,310,330,520,580,690,780,900,900,900,185,0,170,223.23357217844475,2.94010600191541,896.1359029926825,279.572972972973
1784634647,90,,Aggregated,21.142857,0.000000,200,310,360,460,600,720,800,830,900,900,900,214,0,200,265.2626270745178,2.94010600191541,896.1359029926825,276.60747663551405
1784634648,100,,Aggregated,22.125000,0.000000,240,360,550,600,750,840,1100,1100,1400,1400,1400,246,0,240,337.2316635410184,2.94010600191541,1427.7497230214067,273.8455284552846
1784634649,100,,Aggregated,22.777778,0.000000,310,560,660,730,990,1200,1300,1400,1600,1600,1600,288,0,310,427.47350837200634,2.94010600191541,1585.9172089840285,281.71180555555554
1784634650,100,,Aggregated,24.200000,0.000000,320,570,680,740,990,1100,1300,1400,1600,1600,1600,332,0,320,444.47158501853085,2.94010600191541,1585.9172089840285,286.0692771084337
1784634651,100,,Aggregated,27.000000,0.000000,320,560,670,720,960,1100,1300,1400,1600,1600,1600,372,0,320,438.336170519535,2.94010600191541,1585.9172089840285,290.33870967741933
1784634652,100,,Aggregated,30.500000,0.000000,340,560,670,720,950,1100,1300,1300,1600,1600,1600,405,0,340,439.2142971932319,2.94010600191541,1585.9172089840285,286.6493827160494
1784634653,100,,Aggregated,33.000000,0.000000,380,580,680,750,960,1100,1300,1400,1600,1600,1600,430,0,370,457.83645434475636,2.94010600191541,1585.9172089840285,283.27906976744185
1784634654,100,,Aggregated,33.900000,0.000000,430,620,710,780,1100,1300,1400,1500,1700,1700,1700,461,0,430,498.50394136916066,2.94010600191541,1732.2398939868435,282.7114967462039
1784634655,100,,Aggregated,34.000000,0.000000,490,670,800,900,1200,1400,1700,1700,2000,2000,2000,500,0,490,556.7868939322652,2.94010600191541,1964.934881980298,279.812
1784634656,100,,Aggregated,34.500000,0.000000,540,720,860,990,1300,1400,1700,1800,2000,2000,2000,533,0,540,598.9932463378021,2.94010600191541,1964.934881980298,279.484052532833
1784634657,100,,Aggregated,34.600000,0.000000,540,730,880,1000,1300,1400,1700,1800,2000,2000,2000,574,1,540,602.4884880506307,2.94010600191541,1964.934881980298,280.5156794425087
1784634658,100,,Aggregated,34.800000,0.000000,540,740,890,1000,1300,1400,1700,1800,2000,2000,2000,599,2,540,604.4499696947487,2.94010600191541,1964.934881980298,279.86811352253756
1784634659,100,,Aggregated,36.500000,0.100000,560,760,910,1000,1300,1500,1700,1800,2000,2000,2000,638,2,560,624.6699604376305,2.94010600191541,1964.934881980298,282.84012539184954
1784634660,100,,Aggregated,35.300000,0.200000,580,780,920,1000,1300,1500,1700,1800,2000,2000,2000,671,2,580,635.4078619167761,2.94010600191541,1964.934881980298,282.628912071535
1784634661,100,,Aggregated,35.200000,0.200000,590,780,950,1100,1300,1400,1700,1800,2000,2000,2000,712,2,590,644.7734640832495,2.94010600191541,1964.934881980298,284.77106741573033
1784634662,100,,Aggregated,33.900000,0.200000,600,800,950,1000,1300,1400,1700,1800,2000,2000,2000,746,3,600,649.7351218730223,2.94010600191541,1964.934881980298,286.4048257372654
1784634663,100,,Aggregated,33.500000,0.200000,600,800,950,1000,1300,1400,1700,1800,2000,2000,2000,782,4,600,653.182611368825,2.94010600191541,1964.934881980298,284.5869565217391
1784634664,100,,Aggregated,34.200000,0.300000,620,800,950,1000,1300,1400,1700,1800,2000,2000,2000,817,4,620,657.9314226883015,2.94010600191541,1964.934881980298,282.6523867809058
1784634665,100,,Aggregated,35.200000,0.400000,650,820,960,1100,1300,1400,1700,1800,2000,2000,2000,853,4,650,670.4780359687718,2.94010600191541,1964.934881980298,283.45369284876904
1784634666,100,,Aggregated,35.300000,0.400000,660,820,970,1100,1300,1400,1700,1800,2000,2000,2000,892,5,660,677.607372356781,2.94010600191541,1964.934881980298,283.7724215246637
1784634667,100,,Aggregated,35.100000,0.400000,650,820,960,1000,1300,1400,1700,1700,2000,2000,2000,932,6,650,670.6901415271305,2.94010600191541,1964.934881980298,286.29935622317595
1784634668,100,,Aggregated,35.800000,0.500000,650,810,960,1000,1300,1400,1700,1700,2000,2000,2000,964,6,650,667.8170051050847,2.94010600191541,1964.934881980298,286.90767634854774
